,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Btbd9,0.9092,0.09079999999999999,2.3039057072376683,6.2053856e-05,1.2797576e-05,0.0,0.25,1.717979,1.4306064,1.4209392,-1.5913963,6.454027,0.860431,0.14929047,0.38807487590458034,0.13261050875729585,0.5857861,0.103052825,False,WT vs Aire_KO,WT,Aire_KO,False
Col6a1,0.933,0.06699999999999995,2.633712442920772,6.666598e-05,2.0600455e-05,0.0,0.25,1.7158949,1.8237925,1.890161,-7.145482,7.7233343,0.43854997,0.075229414,0.1761856348304539,0.0398665554628857,0.37141275,0.05904493,False,WT vs Aire_KO,WT,Aire_KO,True
Chil4,0.953,0.04700000000000004,3.0094670996713875,4.3322794e-05,2.636826e-05,0.0,0.25,1.7138596,2.0016418,3.2377415,-9.65527,10.791695,1.3898708,0.8278593,0.06943364631301953,0.04036697247706419,0.6732123,0.49626726,True,WT vs Aire_KO,WT,Aire_KO,False
Magi2,0.9108,0.08919999999999995,2.3234421934753633,3.3546374e-05,5.917538e-06,0.0,0.25,1.7093172,1.4230375,1.807709,-4.473954,7.926984,0.30345196,0.062552325,0.11757669995813164,0.054545454545454675,0.20500657,0.04150203,False,WT vs Aire_KO,WT,Aire_KO,False
Gm15726,0.9268,0.07320000000000004,2.5385422457687565,1.0672248e-05,1.0826323e-06,0.0,0.25,1.7045923,1.3543682,2.7751815,-6.090971,11.7635765,0.11428811,0.006839029,0.060881526224508736,0.006672226855713098,0.07228974,0.0038685664,False,WT vs Aire_KO,WT,Aire_KO,False
Parp14,0.9302,0.06979999999999997,2.5897654745055814,8.721315e-05,2.874636e-05,0.0,0.25,1.7035266,1.7512093,1.6365763,-4.28249,6.768216,1.1305937,0.23252606,0.45996052867655324,0.14445371142618624,0.7974188,0.1849491,False,WT vs Aire_KO,WT,Aire_KO,False
Apbb2,0.946,0.05400000000000005,2.8632583478732596,3.6994297e-05,9.927332e-06,0.0,0.25,1.7034396,1.6439252,1.0949856,-2.5938053,6.2506237,0.3818571,0.077064335,0.23270139345733776,0.0672226855713095,0.25958,0.050279915,True,WT vs Aire_KO,WT,Aire_KO,False
St3gal4,0.9464,0.05359999999999998,2.871116068586631,4.3862667e-05,1.6752814e-05,0.0,0.25,1.7023543,1.7480993,2.6846664,-7.6201496,10.690863,0.23485231,0.030025007,0.07284253334130697,0.012343619683069233,0.1535879,0.023278328,True,WT vs Aire_KO,WT,Aire_KO,False
Gab1,0.92,0.07999999999999996,2.4423469212387783,4.1610165e-05,1.037075e-05,0.0,0.25,1.7019975,1.658463,1.5770437,-3.7611904,6.9124784,0.46229696,0.08657212,0.26804616948748416,0.07256046705587982,0.34595785,0.058372118,False,WT vs Aire_KO,WT,Aire_KO,False
Epha7,0.9322,0.06779999999999997,2.6209850522269886,2.0422025e-05,6.0975626e-06,0.0,0.25,1.7014451,1.7183447,1.9697715,-5.6553993,8.628714,0.17056243,0.0430359,0.07828479157945008,0.028190158465387718,0.12442348,0.0327833,False,WT vs Aire_KO,WT,Aire_KO,False
Utrn,0.9398,0.06020000000000003,2.747994578881558,0.00010585215,3.2135762e-05,0.0,0.25,1.7005429,1.706142,1.3618673,-3.1910343,6.6676846,1.3731686,0.343784,0.5456611446684311,0.23869891576313085,0.9431821,0.25021353,False,WT vs Aire_KO,WT,Aire_KO,False
Klf12,0.9076,0.09240000000000004,2.2846766770510154,4.150459e-05,7.6142205e-06,0.0,0.25,1.7003688,1.3848519,1.6003711,-2.8297062,7.816777,0.52939045,0.10091728,0.2393995574427462,0.09057547956630463,0.34976566,0.06557846,False,WT vs Aire_KO,WT,Aire_KO,False
Klk13,0.9496,0.0504,2.936049480336206,3.9750983e-05,7.875323e-06,0.0,0.25,1.697499,1.920342,2.5710716,-7.4281406,10.682922,0.29836643,0.015012507,0.06189821182943669,0.003836530442035031,0.16803867,0.012713714,True,WT vs Aire_KO,WT,Aire_KO,True
Pgm2l1,0.9274,0.0726,2.5474199231684067,2.5854137e-05,7.3570864e-06,0.0,0.25,1.6968101,1.6832929,1.9158946,-6.51818,9.2031,0.2093757,0.05954971,0.09006638358949615,0.03819849874895741,0.14263059,0.044398643,False,WT vs Aire_KO,WT,Aire_KO,False
Fbln1,0.937,0.06299999999999994,2.699548407789103,2.4857556e-05,7.287734e-06,0.0,0.25,1.6954511,1.8060632,2.0994062,-6.0303173,8.843772,0.13964498,0.043202702,0.0781651815082821,0.034028356964136676,0.09142756,0.026733108,False,WT vs Aire_KO,WT,Aire_KO,True
Robo1,0.9176,0.08240000000000003,2.4101760184385133,0.00017837438,3.362872e-05,0.0,0.25,1.6940985,1.510858,1.6598412,-3.8873053,7.8781853,2.2060707,0.4243502,0.5608516237067681,0.2905754795662986,1.6744499,0.28451732,False,WT vs Aire_KO,WT,Aire_KO,False
Unc5c,0.925,0.07499999999999996,2.5123055014536018,7.144792e-05,1.539298e-05,0.0,0.25,1.6927459,1.5424094,1.6246272,-4.111392,7.2353067,0.719551,0.13344431,0.2202619460558649,0.1015846538782309,0.47506717,0.08793537,False,WT vs Aire_KO,WT,Aire_KO,False
Lgals2,0.942,0.05800000000000005,2.7875621022318757,6.944325e-05,1.5433043e-05,0.0,0.25,1.6894803,1.7600937,2.6983232,-6.830739,10.368397,0.91351473,0.085571334,0.13300639913880297,0.038532110091743066,0.5052275,0.067600064,True,WT vs Aire_KO,WT,Aire_KO,False
Nfkbiz,0.9396,0.06040000000000001,2.744464992923915,0.00012042105,4.142996e-05,0.0,0.25,1.6867654,1.8220286,1.6763875,-4.65563,5.900921,1.6745311,0.4175119,0.5562466359667998,0.22668890742284764,1.1397123,0.30879653,False,WT vs Aire_KO,WT,Aire_KO,False
Stfa3,0.947,0.05300000000000005,2.88300700151439,2.2866087e-05,5.1366173e-06,0.0,0.25,1.6837418,1.8289652,2.6956172,-8.174103,10.28348,0.3434598,0.082068354,0.05029603492614124,0.00984153461217682,0.19335859,0.063620575,True,WT vs Aire_KO,WT,Aire_KO,True
Shroom3,0.9312,0.06879999999999997,2.6052701974278807,4.172202e-05,1.1144718e-05,0.0,0.25,1.6831719,1.7166581,1.6220272,-4.7749796,8.273221,0.44010612,0.08690586,0.20285868070091972,0.06371976647206024,0.29560393,0.06283017,False,WT vs Aire_KO,WT,Aire_KO,False
Ccser1,0.9008,0.09919999999999995,2.2061451533893965,0.00014578157,2.3679242e-05,0.0,0.25,1.6822733,1.2867885,1.9547018,-2.9352875,9.245836,2.209749,0.30141562,0.49398959392385156,0.2361968306922385,1.4347049,0.21654066,False,WT vs Aire_KO,WT,Aire_KO,False
Herc6,0.9314,0.0686,2.608396160780379,6.33278e-05,1.7222532e-05,0.0,0.25,1.6819453,1.6459894,1.75928,-4.575818,8.7953615,0.69150597,0.1678059,0.3403504575085451,0.13394495412843843,0.5170711,0.12787996,False,WT vs Aire_KO,WT,Aire_KO,False
Setdb2,0.9472,0.05279999999999996,2.886998894581037,2.0779995e-05,5.5678183e-06,0.0,0.25,1.6804508,1.5522013,1.1064837,-3.2230473,5.929117,0.2980641,0.082402036,0.1848573649901345,0.07639699749791473,0.17790058,0.05616214,True,WT vs Aire_KO,WT,Aire_KO,False
Dip2c,0.924,0.07599999999999996,2.497978610598926,6.0398717e-05,1.3902667e-05,0.0,0.25,1.6803012,1.4914641,1.3549064,-2.3499098,6.94979,0.7607993,0.13577943,0.3669636983434269,0.11492910758965669,0.5310018,0.09374628,False,WT vs Aire_KO,WT,Aire_KO,False
Efna3,0.933,0.06699999999999995,2.633712442920772,2.2137396e-05,8.1581575e-06,0.0,0.25,1.6787468,1.7839947,2.1562133,-6.908554,9.198633,0.1393458,0.03953295,0.0511931104599012,0.01734778982485404,0.08221834,0.027627915,False,WT vs Aire_KO,WT,Aire_KO,True
Pcp4,0.9498,0.05020000000000002,2.9402362207427024,9.182444e-05,2.507588e-05,0.0,0.25,1.678409,1.5673909,3.0861132,-7.861745,11.386238,2.24647,0.122435324,0.14694097242987592,0.02885738115095902,1.3007282,0.09380556,True,WT vs Aire_KO,WT,Aire_KO,False
Sptbn1,0.9366,0.06340000000000001,2.6927922882544832,0.00017519006,5.7871403e-05,0.0,0.25,1.6777239,1.7734737,1.4531343,-3.6817026,5.629181,2.573397,0.62936103,0.7101249925244423,0.3055879899916526,1.6472423,0.4277149,False,WT vs Aire_KO,WT,Aire_KO,False
Plac8,0.946,0.05400000000000005,2.8632583478732596,0.0001460215,7.6756216e-05,0.0,0.25,1.6770017,1.8408318,2.4423754,-9.390616,8.855468,1.8195767,1.001839,0.22097960648287296,0.11492910758965669,1.1134182,0.673253,True,WT vs Aire_KO,WT,Aire_KO,False
Sorcs2,0.9344,0.06559999999999999,2.6563287743869615,3.5614015e-05,9.944257e-06,0.0,0.25,1.6769873,1.681746,1.3456591,-3.222373,6.8256435,0.24280362,0.052043475,0.14000358830213144,0.043035863219349456,0.1781581,0.03700161,False,WT vs Aire_KO,WT,Aire_KO,False
Gm94,0.94,0.06000000000000005,2.751535157013593,0.00010401362,4.396689e-05,0.0,0.25,1.6756551,1.6877956,2.8062935,-9.786396,11.622374,1.656421,0.3187656,0.09562825189880723,0.020016680567139254,0.9219262,0.21208304,False,WT vs Aire_KO,WT,Aire_KO,True
Vps13b,0.9278,0.07220000000000004,2.5533760186929015,8.2090824e-05,2.147078e-05,0.0,0.25,1.6735629,1.5569282,1.3167303,-2.4674406,6.5240183,1.1178441,0.24103266,0.5192871239758853,0.19382819015846164,0.7878735,0.17368495,False,WT vs Aire_KO,WT,Aire_KO,False
Ikzf3,0.9304,0.0696,2.5928499009339956,2.0075759e-05,6.503625e-06,0.0,0.25,1.6728836,1.7647014,1.7437172,-5.057415,7.8490267,0.129359,0.030692218,0.06757969020991583,0.024020016680567073,0.08224963,0.023233712,False,WT vs Aire_KO,WT,Aire_KO,True
Adgrg2,0.9262,0.07379999999999998,2.529731337735684,4.142566e-05,1.3945928e-05,0.0,0.25,1.6725178,1.7055645,1.8516788,-5.394491,6.811612,0.32689217,0.09591325,0.17116201184139757,0.06288573811509612,0.24496286,0.0668368,False,WT vs Aire_KO,WT,Aire_KO,False
Tgfbi,0.927,0.07299999999999995,2.5414939982186593,4.6908975e-05,1.1513457e-05,0.0,0.25,1.672154,1.6721325,1.897937,-5.4817533,9.038769,0.32701313,0.05004177,0.13725255666526726,0.03386155129274385,0.26705536,0.03763934,False,WT vs Aire_KO,WT,Aire_KO,False
Tbc1d9,0.921,0.07899999999999996,2.456012068063779,3.2923926e-05,8.710598e-06,0.0,0.25,1.671632,1.6158204,1.5370312,-3.4343843,7.0416203,0.42683265,0.07372819,0.23138568267448967,0.061217681401167845,0.29672277,0.049308863,False,WT vs Aire_KO,WT,Aire_KO,False
Acaca,0.927,0.07299999999999995,2.5414939982186593,4.319246e-05,1.25736715e-05,0.0,0.25,1.6695055,1.6449442,1.5242723,-4.131604,7.9374743,0.4535615,0.08323608,0.22373063811973715,0.06638865721434539,0.278646,0.05658855,False,WT vs Aire_KO,WT,Aire_KO,False
Ext1,0.902,0.09799999999999998,2.2196469504377156,7.246387e-05,1.33681e-05,0.0,0.25,1.6689851,1.3774209,1.745327,-3.6439238,7.898388,0.77546006,0.086238526,0.309969499431871,0.07155963302752288,0.5820725,0.05314089,False,WT vs Aire_KO,WT,Aire_KO,False
Myo1b,0.9442,0.05579999999999996,2.828563970104445,0.00013104788,4.507635e-05,0.0,0.25,1.6685945,1.7563548,1.9710302,-5.6500883,8.325046,1.4293935,0.3799818,0.36307637103046664,0.13427856547122408,1.0332024,0.28560814,True,WT vs Aire_KO,WT,Aire_KO,False
Glcci1,0.887,0.11299999999999999,2.060457086375625,3.5807225e-05,4.7966487e-06,0.0,0.25,1.6683503,1.135808,2.2180278,-3.699749,8.780264,0.43359,0.049374618,0.21487949285330454,0.04737281067556302,0.2911665,0.035628077,False,WT vs Aire_KO,WT,Aire_KO,False
Gucy1a2,0.922,0.07799999999999996,2.4698362795078697,2.6568578e-05,5.076825e-06,0.0,0.25,1.6671461,1.5738177,1.869504,-4.503702,9.418257,0.17163841,0.014178471,0.07786615633036215,0.012343619683069233,0.1277521,0.009155201,False,WT vs Aire_KO,WT,Aire_KO,False
Brca2,0.932,0.06799999999999995,2.6178249731802863,2.7368493e-05,7.296512e-06,0.0,0.25,1.6666375,1.6895213,1.4969586,-4.3749027,6.4802113,0.17241673,0.07923274,0.09437234615154344,0.06221851542952482,0.097922936,0.044434067,False,WT vs Aire_KO,WT,Aire_KO,False
Scn7a,0.9368,0.06320000000000003,2.6961653635774967,3.709933e-05,8.2091365e-06,0.0,0.25,1.6604658,1.7068753,2.486083,-6.639868,10.989564,0.16506174,0.011676391,0.06309431254111657,0.009341117597998338,0.14672524,0.0092349285,False,WT vs Aire_KO,WT,Aire_KO,True
Sdk1,0.9076,0.09240000000000004,2.2846766770510154,4.7727324e-05,6.6753214e-06,0.0,0.25,1.6600366,1.339241,2.2868829,-4.825429,9.796607,0.47150537,0.039032556,0.1408408588003075,0.03336113427856536,0.33778325,0.029764185,False,WT vs Aire_KO,WT,Aire_KO,False
Krt1,0.9218,0.07820000000000005,2.4670585157062526,3.2367254e-05,5.5087366e-06,0.0,0.25,1.6599584,1.5532627,2.2305534,-7.762191,12.366699,0.65193295,0.02835695,0.08420549010226511,0.014845704753961646,0.35163411,0.02149682,False,WT vs Aire_KO,WT,Aire_KO,True
Oxr1,0.9342,0.06579999999999997,2.6530705684654103,0.000100389385,2.3176437e-05,0.0,0.25,1.659518,1.5522408,1.6683649,-4.2695885,8.740202,1.4820507,0.29941437,0.43544046408711157,0.19899916597163914,1.0525628,0.20962152,False,WT vs Aire_KO,WT,Aire_KO,False
Wfdc18,0.9464,0.05359999999999998,2.871116068586631,0.0014322044,0.0006786805,0.0,0.25,1.658495,1.7630396,3.0020156,-8.927981,10.772766,34.043175,11.805667,0.7532444231805092,0.5204336947456077,20.642763,8.052595,True,WT vs Aire_KO,WT,Aire_KO,False
Evpl,0.94,0.06000000000000005,2.751535157013593,1.8916828e-05,5.2961796e-06,0.0,0.25,1.6583838,1.739728,2.4246817,-8.242784,9.122859,0.15459566,0.038365316,0.08641827641887274,0.027856547122602066,0.09525366,0.025983477,False,WT vs Aire_KO,WT,Aire_KO,False
Rbp1,0.9378,0.06220000000000003,2.713181556801915,0.00011142769,4.1057094e-05,0.0,0.25,1.6582471,1.7327156,2.3338292,-5.5166245,8.19855,0.8150715,0.15929936,0.192033969260215,0.043035863219349456,0.651713,0.11438827,False,WT vs Aire_KO,WT,Aire_KO,False
Cga,0.9368,0.06320000000000003,2.6961653635774967,2.6332402e-05,4.4037806e-06,0.0,0.25,1.6579522,1.5184965,2.9576828,-6.174038,11.347431,0.5758618,0.0628859,0.06141977154476471,0.05037531276063394,0.32599586,0.045663267,False,WT vs Aire_KO,WT,Aire_KO,False
Arhgap24,0.9346,0.06540000000000001,2.65959622959775,5.587306e-05,1.35510045e-05,0.0,0.25,1.6548455,1.5778732,1.4037504,-3.2145004,6.560561,0.3823359,0.036196824,0.16494228814066114,0.026688907422852286,0.29198927,0.028113225,False,WT vs Aire_KO,WT,Aire_KO,False
Prg4,0.9398,0.06020000000000003,2.747994578881558,4.9131195e-05,1.0406996e-05,0.0,0.25,1.6530606,1.6665645,2.685295,-7.558571,10.11797,1.0072926,0.057547964,0.07487590455116264,0.013678065054211853,0.6001277,0.039308734,False,WT vs Aire_KO,WT,Aire_KO,False
Clca1,0.9498,0.05020000000000002,2.9402362207427024,3.9212402e-05,7.5881994e-06,0.0,0.25,1.6486537,1.804349,3.1207352,-10.419824,13.05593,0.7593412,0.031526264,0.07027091681119539,0.012176814011676406,0.45299488,0.022977125,True,WT vs Aire_KO,WT,Aire_KO,False
Psca,0.9508,0.04920000000000002,2.961409919253223,0.00011194378,2.2024547e-05,0.0,0.25,1.6483524,1.7493124,2.786669,-5.679693,10.847672,1.8613268,0.014512088,0.16356677232222905,0.007005838198498753,1.0593746,0.009185971,True,WT vs Aire_KO,WT,Aire_KO,True
Grid1,0.924,0.07599999999999996,2.497978610598926,2.7678716e-05,3.473555e-06,0.0,0.25,1.6480207,1.3678751,2.5039866,-5.9745636,10.502067,0.35715756,0.03519599,0.11865319059864346,0.03052543786488728,0.21950422,0.02558682,False,WT vs Aire_KO,WT,Aire_KO,True
Sh3d19,0.93,0.06999999999999995,2.586689211993499,7.956183e-05,2.2168093e-05,0.0,0.25,1.6459607,1.6077533,1.5726225,-3.7195234,6.6683693,0.9280116,0.17881499,0.4183960289456704,0.13494578815679537,0.6691884,0.12677726,False,WT vs Aire_KO,WT,Aire_KO,False
Mybpc1,0.9228,0.07720000000000005,2.4810129505717815,2.8411261e-05,8.454155e-06,0.0,0.25,1.6447206,1.5701332,1.9623321,-5.1505938,8.485533,0.15316044,0.058548886,0.0647688535374683,0.038865721434528724,0.10172021,0.033960696,False,WT vs Aire_KO,WT,Aire_KO,True
Adgrf4,0.9332,0.06679999999999997,2.636916320619904,2.3172455e-05,7.5815724e-06,0.0,0.25,1.6433709,1.5997729,2.2168503,-6.511018,9.303203,0.1705037,0.02969139,0.06375216793254046,0.015012510425354474,0.10006649,0.023171682,False,WT vs Aire_KO,WT,Aire_KO,False
Frmd4a,0.9324,0.0676,2.6241537869087113,7.167872e-05,1.8257937e-05,0.0,0.25,1.6432828,1.56808,1.5757289,-5.0709286,7.6608925,0.75847965,0.22168376,0.3112852102147191,0.15596330275229098,0.57135284,0.15192452,False,WT vs Aire_KO,WT,Aire_KO,False
Lgals3,0.9298,0.07020000000000004,2.583621066529587,4.577799e-05,1.163638e-05,0.0,0.25,1.6419188,1.7142062,2.0090938,-7.2297163,8.963786,0.6105464,0.13561289,0.13181029842712289,0.0753961634695578,0.33698878,0.08932868,False,WT vs Aire_KO,WT,Aire_KO,False
Ptprd,0.9228,0.07720000000000005,2.4810129505717815,9.5185824e-05,2.3382812e-05,0.0,0.25,1.6410141,1.5343566,1.5926375,-3.2685976,7.415574,0.9820846,0.13561282,0.3286884755696643,0.09457881567973236,0.7394997,0.09631512,False,WT vs Aire_KO,WT,Aire_KO,False
Slc43a2,0.9348,0.06520000000000004,2.662872991055349,5.7193476e-05,1.9827037e-05,0.0,0.25,1.6408511,1.7356954,1.8603458,-5.762048,6.696375,0.8272032,0.18665498,0.35171341426950586,0.11759799833194184,0.5411323,0.14309327,False,WT vs Aire_KO,WT,Aire_KO,False
Aqp3,0.9402,0.059799999999999964,2.755086801045413,8.888036e-05,2.8702718e-05,0.0,0.25,1.6392596,1.8575778,2.2526896,-6.280443,9.245921,0.9196102,0.14161786,0.2024998504874157,0.06472060050041717,0.5636405,0.119128905,False,WT vs Aire_KO,WT,Aire_KO,True
Eif2ak2,0.94,0.06000000000000005,2.751535157013593,6.306754e-05,2.0804737e-05,0.0,0.25,1.6375955,1.6779346,1.4639714,-4.498147,5.8798532,0.7336674,0.20099999,0.39411518449856475,0.14445371142618624,0.5134041,0.13907188,False,WT vs Aire_KO,WT,Aire_KO,False
Lcn2,0.9466,0.0534,2.8750656948042224,0.000100561345,3.061818e-05,0.0,0.25,1.6374687,1.7887764,2.9881473,-9.023153,11.582331,1.6056513,0.24253526,0.13994378326654744,0.04236864053377814,0.9062993,0.18667413,True,WT vs Aire_KO,WT,Aire_KO,True
Xkr4,0.9242,0.07579999999999998,2.5008300846818967,6.8729634e-05,1.0883349e-05,0.0,0.25,1.6374302,1.4127522,2.4408145,-4.884099,10.493317,1.2624433,0.13377795,0.23234256324383373,0.09908256880733857,0.7819255,0.09624517,False,WT vs Aire_KO,WT,Aire_KO,True
Il12rb2,0.9422,0.05779999999999996,2.791228628190702,2.668842e-05,8.848481e-06,0.0,0.25,1.6371636,1.7351236,2.2362273,-6.244011,8.089868,0.2536895,0.04937455,0.11297171221816439,0.03603002502085063,0.14685412,0.0363365,True,WT vs Aire_KO,WT,Aire_KO,False
Isg15,0.9326,0.06740000000000002,2.627331228810728,0.00024322463,7.9200254e-05,0.0,0.25,1.6365781,1.6397166,2.2985208,-7.5459547,8.361415,3.27344,0.7831593,0.514383111057997,0.2285237698081687,2.3821712,0.5994799,False,WT vs Aire_KO,WT,Aire_KO,False
Rnf122,0.9358,0.06420000000000003,2.679398422659016,2.7798005e-05,8.985789e-06,0.0,0.25,1.6346704,1.6936526,1.4831538,-4.370034,6.7029724,0.24848543,0.052210264,0.15304108605944433,0.03803169307756458,0.1742172,0.035283692,False,WT vs Aire_KO,WT,Aire_KO,False
Tspan15,0.9286,0.07140000000000002,2.5653800769531694,3.428064e-05,1.0498016e-05,0.0,0.25,1.6345639,1.688509,1.3304049,-3.588498,6.6523113,0.2798246,0.036196828,0.1540577716643724,0.027522935779816415,0.1679356,0.02662137,False,WT vs Aire_KO,WT,Aire_KO,False
Gpx3,0.9384,0.06159999999999999,2.723514275118579,0.00018351173,6.470021e-05,0.0,0.25,1.630526,1.8807592,1.9690886,-8.136443,8.122598,2.082847,0.20517075,0.353387955265858,0.06438698915763152,1.3478584,0.17635699,False,WT vs Aire_KO,WT,Aire_KO,True
Sh3pxd2b,0.9344,0.06559999999999999,2.6563287743869615,2.4424904e-05,7.4991726e-06,0.0,0.25,1.6287142,1.638144,1.7115412,-5.9582014,7.497966,0.182702,0.05504598,0.12654745529573053,0.045537948290241895,0.14015998,0.03583817,False,WT vs Aire_KO,WT,Aire_KO,False
Dock4,0.9278,0.07220000000000004,2.5533760186929015,3.5692807e-05,1.1287568e-05,0.0,0.25,1.625782,1.6260767,1.6769291,-4.645377,7.212226,0.5032619,0.10458714,0.21894623527301682,0.07222685571309417,0.3199514,0.07043385,False,WT vs Aire_KO,WT,Aire_KO,False
Gm37245,0.9246,0.07540000000000002,2.5065538147297164,3.48661e-05,8.42591e-06,0.0,0.25,1.6224647,1.5711331,1.8697976,-4.6323767,8.045277,0.39932045,0.06338632,0.16057652054302884,0.05054211843202677,0.2569481,0.052825376,False,WT vs Aire_KO,WT,Aire_KO,False
Tmem117,0.9072,0.0928,2.279916196445646,4.242068e-05,8.558018e-06,0.0,0.25,1.6220032,1.4421124,1.696059,-3.6419992,8.007518,0.54194885,0.09958294,0.2318641229591617,0.08607172643869843,0.36127093,0.06904943,False,WT vs Aire_KO,WT,Aire_KO,True
Olfm1,0.9308,0.06920000000000004,2.5990434350392984,2.5364203e-05,5.5952214e-06,0.0,0.25,1.6217495,1.5823879,2.0782166,-5.1318874,7.5850563,0.3783866,0.042702302,0.0940135159380395,0.03536280233527931,0.20082565,0.02951105,False,WT vs Aire_KO,WT,Aire_KO,False
Wwc2,0.939,0.061000000000000054,2.7339414617501654,1.9549205e-05,6.7066244e-06,0.0,0.25,1.6214286,1.679831,1.7727283,-5.5355425,7.1514044,0.14694087,0.040867403,0.10059206985227842,0.02969140950792315,0.11454075,0.028510962,False,WT vs Aire_KO,WT,Aire_KO,False
Ube2h,0.9338,0.06620000000000004,2.646581679245415,8.268766e-05,2.4901274e-05,0.0,0.25,1.6181204,1.6181698,1.2105597,-2.4996119,5.4636316,1.177117,0.34878787,0.5426110878536469,0.26105087572976904,0.791854,0.24073218,False,WT vs Aire_KO,WT,Aire_KO,False
Klhl29,0.8904,0.10960000000000003,2.094833345437455,7.3446805e-05,1.0882676e-05,0.0,0.25,1.6175728,1.2082977,1.9856564,-4.145212,8.360779,0.74000466,0.09941615,0.2540517911608272,0.08473728106755585,0.5714757,0.06673161,False,WT vs Aire_KO,WT,Aire_KO,False
St18,0.9294,0.0706,2.5775089412682624,7.6114724e-05,1.7918399e-05,0.0,0.25,1.6148803,1.6170101,2.4377682,-6.750905,11.719557,0.69827324,0.083736494,0.1141080078942602,0.04253544620517097,0.51388794,0.065409504,False,WT vs Aire_KO,WT,Aire_KO,True
Gabrp,0.958,0.04200000000000004,3.127177932030695,4.242448e-05,9.402758e-06,0.0,0.25,1.6134683,1.9275236,2.9096007,-9.891848,13.405431,0.43490237,0.040533785,0.11117756115064469,0.016847372810675564,0.2581465,0.029388225,True,WT vs Aire_KO,WT,Aire_KO,True
Plxdc2,0.9196,0.08040000000000003,2.4369245032002973,8.273505e-05,1.7447419e-05,0.0,0.25,1.6134661,1.464314,2.3304932,-6.3038263,10.346622,0.79850113,0.049541317,0.20907840440165615,0.026688907422852286,0.597651,0.03324332,False,WT vs Aire_KO,WT,Aire_KO,False
Irf2bpl,0.9458,0.054200000000000026,2.859350047835406,4.2163156e-05,1.8929712e-05,0.0,0.25,1.6124475,1.774148,2.3098226,-6.1361856,7.2553463,0.49859405,0.17597939,0.27779439028767683,0.11009174311926484,0.34538016,0.13058347,True,WT vs Aire_KO,WT,Aire_KO,False
Tanc2,0.93,0.06999999999999995,2.586689211993499,7.055175e-05,1.9461711e-05,0.0,0.25,1.6122991,1.5722718,1.4390416,-3.5755978,6.973257,0.70071524,0.08907426,0.28425333413074927,0.06705587989991668,0.49301654,0.06703203,False,WT vs Aire_KO,WT,Aire_KO,False
Cyp2f2,0.9448,0.05520000000000003,2.840010141024949,9.346234e-05,3.750267e-05,0.0,0.25,1.6115074,1.6838989,2.8812644,-9.103075,12.104419,1.0736747,0.17197655,0.1307338077866108,0.024854045037531202,0.6742871,0.122941345,True,WT vs Aire_KO,WT,Aire_KO,True
Itpr1,0.9298,0.07020000000000004,2.583621066529587,4.219332e-05,1.266472e-05,0.0,0.25,1.6103992,1.5836806,1.2155027,-2.5096197,6.1593533,0.3829915,0.09608006,0.21984331080677688,0.08240200166805633,0.2641537,0.06869055,False,WT vs Aire_KO,WT,Aire_KO,False
Sema3e,0.9292,0.07079999999999997,2.5744648697155985,2.0268024e-05,6.2796e-06,0.0,0.25,1.6100278,1.6711216,1.9881141,-5.4788103,9.376779,0.1594989,0.019516254,0.07846420668620205,0.01317764804003337,0.10626766,0.015272916,False,WT vs Aire_KO,WT,Aire_KO,True
Stat4,0.9352,0.06479999999999997,2.669454663171554,4.927668e-05,1.6836691e-05,0.0,0.25,1.6073184,1.6192532,2.2727535,-6.5804253,8.260168,0.54745317,0.068724014,0.16015788529394082,0.034528773978315164,0.34935835,0.05328018,False,WT vs Aire_KO,WT,Aire_KO,False
Myo5b,0.9196,0.08040000000000003,2.4369245032002973,5.0144314e-05,1.5418615e-05,0.0,0.25,1.6064171,1.5029182,1.6720525,-3.5648212,7.770671,0.5944517,0.11125929,0.2979486872794862,0.09307756463719696,0.39256066,0.086051926,False,WT vs Aire_KO,WT,Aire_KO,False
Sprr1a,0.9386,0.06140000000000001,2.7269794159949496,0.0001851375,8.9358495e-05,0.0,0.25,1.6028231,1.7436452,2.3212073,-9.142964,8.735492,3.121631,1.0266933,0.2466957717839947,0.11492910758965669,1.7604265,0.6617203,False,WT vs Aire_KO,WT,Aire_KO,True
Glul,0.9326,0.06740000000000002,2.627331228810728,9.320632e-05,3.2352626e-05,0.0,0.25,1.6001465,1.7138181,1.5493506,-5.767602,6.0472736,0.9504581,0.298581,0.3270139345733122,0.13711426188490206,0.65813607,0.20224081,False,WT vs Aire_KO,WT,Aire_KO,False
Gulp1,0.9184,0.0816,2.42080365193473,1.6796688e-05,3.7877985e-06,0.0,0.25,1.5996234,1.4539976,1.6708761,-4.1046762,8.476456,0.11363034,0.01634694,0.06751988517433184,0.014845704753961646,0.1021871,0.011550172,False,WT vs Aire_KO,WT,Aire_KO,False
Fzd2,0.9386,0.06140000000000001,2.7269794159949496,2.3779605e-05,8.995777e-06,0.0,0.25,1.5990692,1.6637206,2.4329977,-8.651113,9.998288,0.14718015,0.07322777,0.08629866634770476,0.047873227689741504,0.121109925,0.05165736,False,WT vs Aire_KO,WT,Aire_KO,False
