Gene Symbol,Ensembl ID,GNF GeneAtlas
Htr4,ENSMUSG00000026322,TRE
Serpinb11,ENSMUSG00000026327,TRE
Slco6c1,ENSMUSG00000026331,TRE
Slco6d1,ENSMUSG00000026336,TRE
Lypd1,ENSMUSG00000026344,TRE
Lct,ENSMUSG00000026354,TRE
Rgs18,ENSMUSG00000026357,TRE
Rgs1,ENSMUSG00000026358,TRE
F13b,ENSMUSG00000026368,TRE
Ptpn4,ENSMUSG00000026384,TRE
Steap3,ENSMUSG00000026389,TRE
Marco,ENSMUSG00000026390,TRE
Nr5a2,ENSMUSG00000026398,TRE
Daf2,ENSMUSG00000026401,TRE
C4bp,ENSMUSG00000026405,TRE
Cacna1s,ENSMUSG00000026407,TRE
Tmem9,ENSMUSG00000026411,TRE
Pkp1,ENSMUSG00000026413,TRE
Tnnt2,ENSMUSG00000026414,TRE
Tnni1,ENSMUSG00000026418,TRE
Il24,ENSMUSG00000026420,TRE
Gpr37l1,ENSMUSG00000026424,TRE
Ube2t,ENSMUSG00000026429,TRE
Slc45a3,ENSMUSG00000026435,TRE
Nfasc,ENSMUSG00000026442,TRE
Lrrn2,ENSMUSG00000026443,TRE
Chit1,ENSMUSG00000026450,TRE
Syt2,ENSMUSG00000026452,TRE
Ppfia4,ENSMUSG00000026458,TRE
Myog,ENSMUSG00000026459,TRE
Lhx4,ENSMUSG00000026468,TRE
Rgs16,ENSMUSG00000026475,TRE
Kif26b,ENSMUSG00000026494,TRE
Efcab2,ENSMUSG00000026495,TRE
Cnih3,ENSMUSG00000026514,TRE
Wdr64,ENSMUSG00000026523,TRE
1810030J14Rik,ENSMUSG00000026531,TRE
Spna1,ENSMUSG00000026532,TRE
Ifi202b,ENSMUSG00000026535,TRE
Apcs,ENSMUSG00000026542,TRE
Dusp23,ENSMUSG00000026544,TRE
Ccdc19,ENSMUSG00000026546,TRE
Slamf9,ENSMUSG00000026548,TRE
Dusp27,ENSMUSG00000026564,TRE
Adcy10,ENSMUSG00000026567,TRE
Xcl1,ENSMUSG00000026573,TRE
4930455F23Rik,ENSMUSG00000026578,TRE
F5,ENSMUSG00000026579,TRE
Sell,ENSMUSG00000026581,TRE
Sele,ENSMUSG00000026582,TRE
Astn1,ENSMUSG00000026587,TRE
Sec16b,ENSMUSG00000026589,TRE
1700057K13Rik,ENSMUSG00000026592,TRE
Nphs2,ENSMUSG00000026602,TRE
Ush2a,ENSMUSG00000026609,TRE
Spata17,ENSMUSG00000026611,TRE
Slc30a10,ENSMUSG00000026614,TRE
Cr2,ENSMUSG00000026616,TRE
Mark1,ENSMUSG00000026620,TRE
Mosc1,ENSMUSG00000026621,TRE
Nek2,ENSMUSG00000026622,TRE
Atf3,ENSMUSG00000026628,TRE
Batf3,ENSMUSG00000026630,TRE
Traf5,ENSMUSG00000026637,TRE
Acbd7,ENSMUSG00000026644,TRE
Olah,ENSMUSG00000026645,TRE
Dclre1c,ENSMUSG00000026648,TRE
1700009P17Rik,ENSMUSG00000026649,TRE
Meig1,ENSMUSG00000026650,TRE
Mcm10,ENSMUSG00000026669,TRE
Sh2d1b1,ENSMUSG00000026673,TRE
Ccdc3,ENSMUSG00000026676,TRE
Enkur,ENSMUSG00000026679,TRE
Fmo3,ENSMUSG00000026691,TRE
Fmo4,ENSMUSG00000026692,TRE
Myoc,ENSMUSG00000026697,TRE
Nsun6,ENSMUSG00000026707,TRE
Serpinc1,ENSMUSG00000026715,TRE
Tnn,ENSMUSG00000026725,TRE
Cubn,ENSMUSG00000026726,TRE
4930562F07Rik,ENSMUSG00000026729,TRE
Pter,ENSMUSG00000026730,TRE
4921504E06Rik,ENSMUSG00000026734,TRE
Ptf1a,ENSMUSG00000026735,TRE
Nr5a1,ENSMUSG00000026751,TRE
Itga8,ENSMUSG00000026768,TRE
Il2ra,ENSMUSG00000026770,TRE
4931423N10Rik,ENSMUSG00000026774,TRE
Apbb1ip,ENSMUSG00000026786,TRE
Gad2,ENSMUSG00000026787,TRE
Lrsam1,ENSMUSG00000026792,TRE
Stxbp1,ENSMUSG00000026797,TRE
Ak8,ENSMUSG00000026807,TRE
1700026L06Rik,ENSMUSG00000026809,TRE
St6galnac6,ENSMUSG00000026811,TRE
Gfi1b,ENSMUSG00000026815,TRE
Cel,ENSMUSG00000026818,TRE
Kcnj3,ENSMUSG00000026824,TRE
Dnm1,ENSMUSG00000026825,TRE
Galnt5,ENSMUSG00000026828,TRE
Ermn,ENSMUSG00000026830,TRE
1700007K13Rik,ENSMUSG00000026831,TRE
Acvr1c,ENSMUSG00000026834,TRE
Fcnb,ENSMUSG00000026835,TRE
Upp2,ENSMUSG00000026839,TRE
Fibcd1,ENSMUSG00000026841,TRE
Dolpp1,ENSMUSG00000026856,TRE
Kynu,ENSMUSG00000026866,TRE
D730039F16Rik,ENSMUSG00000026870,TRE
Hc,ENSMUSG00000026874,TRE
Traf1,ENSMUSG00000026875,TRE
4930568D16Rik,ENSMUSG00000026882,TRE
Ttll11,ENSMUSG00000026885,TRE
Lhx6,ENSMUSG00000026890,TRE
Morn5,ENSMUSG00000026894,TRE
Slc4a10,ENSMUSG00000026904,TRE
1700019N19Rik,ENSMUSG00000026931,TRE
Lhx3,ENSMUSG00000026934,TRE
Lcn5,ENSMUSG00000026937,TRE
Fcna,ENSMUSG00000026938,TRE
Lcn12,ENSMUSG00000026943,TRE
Abca2,ENSMUSG00000026944,TRE
2010317E24Rik,ENSMUSG00000026955,TRE
Grin1,ENSMUSG00000026959,TRE
Lrrc26,ENSMUSG00000026961,TRE
Tmem210,ENSMUSG00000026963,TRE
Fam166a,ENSMUSG00000026969,TRE
Itgb6,ENSMUSG00000026971,TRE
Pax8,ENSMUSG00000026976,TRE
Il1rn,ENSMUSG00000026981,TRE
Il1f5,ENSMUSG00000026983,TRE
Il1f6,ENSMUSG00000026984,TRE
Il1f8,ENSMUSG00000026985,TRE
Frzb,ENSMUSG00000027004,TRE
Cybrd1,ENSMUSG00000027015,TRE
Zfp385b,ENSMUSG00000027016,TRE
Abcb11,ENSMUSG00000027048,TRE
Lrp2,ENSMUSG00000027070,TRE
P2rx3,ENSMUSG00000027071,TRE
Prg3,ENSMUSG00000027072,TRE
Prg2,ENSMUSG00000027073,TRE
Slc43a1,ENSMUSG00000027075,TRE
Smtnl1,ENSMUSG00000027077,TRE
Ube2l6,ENSMUSG00000027078,TRE
Phospho2,ENSMUSG00000027088,TRE
Chrna1,ENSMUSG00000027107,TRE
Kif18a,ENSMUSG00000027115,TRE
Fshb,ENSMUSG00000027120,TRE
4930430A15Rik,ENSMUSG00000027157,TRE
Elp4,ENSMUSG00000027167,TRE
Prrg4,ENSMUSG00000027171,TRE
Elf5,ENSMUSG00000027186,TRE
Pamr1,ENSMUSG00000027188,TRE
Slc12a1,ENSMUSG00000027202,TRE
Fgf7,ENSMUSG00000027208,TRE
4930525F21Rik,ENSMUSG00000027209,TRE
Slc28a2,ENSMUSG00000027219,TRE
Syt13,ENSMUSG00000027220,TRE
Mapk8ip1,ENSMUSG00000027223,TRE
Duoxa1,ENSMUSG00000027224,TRE
Frmd5,ENSMUSG00000027238,TRE
Wdr76,ENSMUSG00000027242,TRE
Ell3,ENSMUSG00000027246,TRE
F2,ENSMUSG00000027249,TRE
Lrp4,ENSMUSG00000027253,TRE
Mtap1a,ENSMUSG00000027254,TRE
Pacsin3,ENSMUSG00000027257,TRE
Hao1,ENSMUSG00000027261,TRE
6330527O06Rik,ENSMUSG00000027270,TRE
Itpka,ENSMUSG00000027296,TRE
Ltk,ENSMUSG00000027297,TRE
Tyro3,ENSMUSG00000027298,TRE
Oxt,ENSMUSG00000027301,TRE
Dll4,ENSMUSG00000027314,TRE
Gfra4,ENSMUSG00000027316,TRE
Ppp1r14d,ENSMUSG00000027317,TRE
Adam33,ENSMUSG00000027318,TRE
Rpusd2,ENSMUSG00000027324,TRE
Casc5,ENSMUSG00000027326,TRE
Spef1,ENSMUSG00000027329,TRE
Cdc25b,ENSMUSG00000027330,TRE
Smox,ENSMUSG00000027333,TRE
Prnd,ENSMUSG00000027338,TRE
Fsip1,ENSMUSG00000027344,TRE
Rasgrp1,ENSMUSG00000027347,TRE
Mcm8,ENSMUSG00000027353,TRE
Tmco5,ENSMUSG00000027355,TRE
Bmp2,ENSMUSG00000027358,TRE
Slc27a2,ENSMUSG00000027359,TRE
Dusp2,ENSMUSG00000027368,TRE
Mall,ENSMUSG00000027377,TRE
Nphp1,ENSMUSG00000027378,TRE
Acoxl,ENSMUSG00000027380,TRE
Fbln7,ENSMUSG00000027386,TRE
Ttl,ENSMUSG00000027394,TRE
Polr1b,ENSMUSG00000027395,TRE
Il1b,ENSMUSG00000027398,TRE
Pdyn,ENSMUSG00000027400,TRE
Tgm3,ENSMUSG00000027401,TRE
Cpxm1,ENSMUSG00000027408,TRE
1700020A23Rik,ENSMUSG00000027409,TRE
Lpin3,ENSMUSG00000027412,TRE
Otor,ENSMUSG00000027416,TRE
Pcsk2,ENSMUSG00000027419,TRE
Bfsp1,ENSMUSG00000027420,TRE
1700010M22Rik,ENSMUSG00000027431,TRE
Nkx2-2,ENSMUSG00000027434,TRE
Napb,ENSMUSG00000027438,TRE
Cst8,ENSMUSG00000027442,TRE
Cst12,ENSMUSG00000027443,TRE
8030411F24Rik,ENSMUSG00000027444,TRE
Cst9,ENSMUSG00000027445,TRE
9230104L09Rik,ENSMUSG00000027446,TRE
Sdcbp2,ENSMUSG00000027456,TRE
Snph,ENSMUSG00000027457,TRE
Fam110a,ENSMUSG00000027459,TRE
Slc52a3,ENSMUSG00000027463,TRE
Mylk2,ENSMUSG00000027470,TRE
Dnmt3b,ENSMUSG00000027478,TRE
Sun5,ENSMUSG00000027480,TRE
Bpifa3,ENSMUSG00000027482,TRE
Bpifa1,ENSMUSG00000027483,TRE
Bpifa5,ENSMUSG00000027484,TRE
Bpifb1,ENSMUSG00000027485,TRE
Snta1,ENSMUSG00000027488,TRE
Necab3,ENSMUSG00000027489,TRE
Stmn2,ENSMUSG00000027500,TRE
1700029J11Rik,ENSMUSG00000027505,TRE
Rbm38,ENSMUSG00000027510,TRE
1700021F07Rik,ENSMUSG00000027518,TRE
Zdbf2,ENSMUSG00000027520,TRE
Edn3,ENSMUSG00000027524,TRE
Phactr3,ENSMUSG00000027525,TRE
Fabp9,ENSMUSG00000027528,TRE
Fabp12,ENSMUSG00000027530,TRE
Cypt12,ENSMUSG00000027564,TRE
1600027N09Rik,ENSMUSG00000027569,TRE
Col9a3,ENSMUSG00000027570,TRE
Nkain4,ENSMUSG00000027574,TRE
Stmn3,ENSMUSG00000027581,TRE
Oprl1,ENSMUSG00000027584,TRE
Ggt7,ENSMUSG00000027603,TRE
Dnajc5b,ENSMUSG00000027606,TRE
Procr,ENSMUSG00000027611,TRE
Mmp24,ENSMUSG00000027612,TRE
Sla2,ENSMUSG00000027636,TRE
Ghrh,ENSMUSG00000027643,TRE
Wisp2,ENSMUSG00000027656,TRE
Slc2a10,ENSMUSG00000027661,TRE
Ocstamp,ENSMUSG00000027670,TRE
Ccdc39,ENSMUSG00000027676,TRE
Slc2a2,ENSMUSG00000027690,TRE
Pld1,ENSMUSG00000027695,TRE
Lrrc34,ENSMUSG00000027702,TRE
Lrriq4,ENSMUSG00000027703,TRE
Trpc3,ENSMUSG00000027716,TRE
Adad1,ENSMUSG00000027719,TRE
Slc7a11,ENSMUSG00000027737,TRE
Stoml3,ENSMUSG00000027744,TRE
Trpc4,ENSMUSG00000027748,TRE
Aadac,ENSMUSG00000027761,TRE
P2ry1,ENSMUSG00000027765,TRE
Il12a,ENSMUSG00000027776,TRE
Bche,ENSMUSG00000027792,TRE
Ccna1,ENSMUSG00000027793,TRE
Tm4sf4,ENSMUSG00000027801,TRE
Kcnab1,ENSMUSG00000027827,TRE
Veph1,ENSMUSG00000027831,TRE
Ptx3,ENSMUSG00000027832,TRE
Shox2,ENSMUSG00000027833,TRE
Serpini1,ENSMUSG00000027834,TRE
Syt6,ENSMUSG00000027849,TRE
Sycp1,ENSMUSG00000027855,TRE
Tshb,ENSMUSG00000027857,TRE
Ngf,ENSMUSG00000027859,TRE
Casq2,ENSMUSG00000027861,TRE
Cd2,ENSMUSG00000027863,TRE
Spag17,ENSMUSG00000027867,TRE
Tbx15,ENSMUSG00000027868,TRE
Hsd3b6,ENSMUSG00000027869,TRE
Hao2,ENSMUSG00000027870,TRE
Hsd3b1,ENSMUSG00000027871,TRE
Hmgcs2,ENSMUSG00000027875,TRE
Reg4,ENSMUSG00000027876,TRE
4930443G12Rik,ENSMUSG00000027880,TRE
1700013F07Rik,ENSMUSG00000027886,TRE
Sypl2,ENSMUSG00000027887,TRE
Gstm4,ENSMUSG00000027890,TRE
Slc6a17,ENSMUSG00000027894,TRE
Kcnc4,ENSMUSG00000027895,TRE
Slc16a4,ENSMUSG00000027896,TRE
Ddx20,ENSMUSG00000027905,TRE
Lce1m,ENSMUSG00000027912,TRE
Crct1,ENSMUSG00000027913,TRE
Lce1b,ENSMUSG00000027923,TRE
Sprr2j-ps,ENSMUSG00000027925,TRE
Lelp1,ENSMUSG00000027927,TRE
Slc27a3,ENSMUSG00000027932,TRE
Creb3l4,ENSMUSG00000027938,TRE
Chrnb2,ENSMUSG00000027950,TRE
Lrrc39,ENSMUSG00000027961,TRE
Olfm3,ENSMUSG00000027965,TRE
Col11a1,ENSMUSG00000027966,TRE
Neurog2,ENSMUSG00000027967,TRE
1700006A11Rik,ENSMUSG00000027973,TRE
Ndst3,ENSMUSG00000027977,TRE
Prss12,ENSMUSG00000027978,TRE
Cyp2u1,ENSMUSG00000027983,TRE
Lef1,ENSMUSG00000027985,TRE
Tlr2,ENSMUSG00000027995,TRE
Sfrp2,ENSMUSG00000027996,TRE
Fga,ENSMUSG00000028001,TRE
Lrat,ENSMUSG00000028003,TRE
Npy2r,ENSMUSG00000028004,TRE
Gucy1b3,ENSMUSG00000028005,TRE
1700061I17Rik,ENSMUSG00000028009,TRE
Tdo2,ENSMUSG00000028011,TRE
Rrh,ENSMUSG00000028012,TRE
Egf,ENSMUSG00000028017,TRE
Glrb,ENSMUSG00000028020,TRE
Dkk2,ENSMUSG00000028031,TRE
Kcnq5,ENSMUSG00000028033,TRE
Ptgfr,ENSMUSG00000028036,TRE
Ifi44,ENSMUSG00000028037,TRE
Efna3,ENSMUSG00000028039,TRE
Efna4,ENSMUSG00000028040,TRE
Thbs3,ENSMUSG00000028047,TRE
Iqgap3,ENSMUSG00000028068,TRE
Sh2d2a,ENSMUSG00000028071,TRE
Ntrk1,ENSMUSG00000028072,TRE
Dclk2,ENSMUSG00000028078,TRE
Fmo5,ENSMUSG00000028088,TRE
Nudt17,ENSMUSG00000028100,TRE
Hormad1,ENSMUSG00000028109,TRE
Ctsk,ENSMUSG00000028111,TRE
Bnipl,ENSMUSG00000028115,TRE
Myoz2,ENSMUSG00000028116,TRE
Abca4,ENSMUSG00000028125,TRE
Riiad1,ENSMUSG00000028139,TRE
Oaz3,ENSMUSG00000028141,TRE
Them5,ENSMUSG00000028148,TRE
Rorc,ENSMUSG00000028150,TRE
Mttp,ENSMUSG00000028158,TRE
Dapp1,ENSMUSG00000028159,TRE
Bdh2,ENSMUSG00000028167,TRE
Tacr3,ENSMUSG00000028172,TRE
Rpe65,ENSMUSG00000028174,TRE
Lrrc7,ENSMUSG00000028176,TRE
Lrriq3,ENSMUSG00000028182,TRE
Dnase2b,ENSMUSG00000028185,TRE
Uox,ENSMUSG00000028186,TRE
Spata1,ENSMUSG00000028188,TRE
Cyr61,ENSMUSG00000028195,TRE
Col24a1,ENSMUSG00000028197,TRE
Lhx8,ENSMUSG00000028201,TRE
Gem,ENSMUSG00000028214,TRE
Cdh17,ENSMUSG00000028217,TRE
Calb1,ENSMUSG00000028222,TRE
Mmp16,ENSMUSG00000028226,TRE
Sdr16c5,ENSMUSG00000028236,TRE
Atp6v0d2,ENSMUSG00000028238,TRE
Cyp7a1,ENSMUSG00000028240,TRE
6230409E13Rik,ENSMUSG00000028246,TRE
Clca3,ENSMUSG00000028255,TRE
Odf2l,ENSMUSG00000028256,TRE
Fhl5,ENSMUSG00000028259,TRE
Clca2,ENSMUSG00000028262,TRE
Spaca1,ENSMUSG00000028264,TRE
Gbp1,ENSMUSG00000028269,TRE
Gabrr1,ENSMUSG00000028280,TRE
1700009N14Rik,ENSMUSG00000028287,TRE
Epha7,ENSMUSG00000028289,TRE
1700003M02Rik,ENSMUSG00000028294,TRE
Cga,ENSMUSG00000028298,TRE
Aldob,ENSMUSG00000028307,TRE
Ppp3r2,ENSMUSG00000028310,TRE
4930547C10Rik,ENSMUSG00000028314,TRE
1300002K09Rik,ENSMUSG00000028327,TRE
5830415F09Rik,ENSMUSG00000028331,TRE
Hemgn,ENSMUSG00000028332,TRE
Tmeff1,ENSMUSG00000028347,TRE
Murc,ENSMUSG00000028348,TRE
Dbc1,ENSMUSG00000028351,TRE
Fmn2,ENSMUSG00000028354,TRE
Ambp,ENSMUSG00000028356,TRE
Kif12,ENSMUSG00000028357,TRE
Orm3,ENSMUSG00000028359,TRE
Tnfsf8,ENSMUSG00000028362,TRE
Svep1,ENSMUSG00000028369,TRE
Pappa,ENSMUSG00000028370,TRE
Slc46a2,ENSMUSG00000028386,TRE
Wdr31,ENSMUSG00000028391,TRE
Bspry,ENSMUSG00000028392,TRE
2310002L09Rik,ENSMUSG00000028396,TRE
Aptx,ENSMUSG00000028411,TRE
Spink4,ENSMUSG00000028415,TRE
Aqp7,ENSMUSG00000028427,TRE
Kif24,ENSMUSG00000028438,TRE
2310028H24Rik,ENSMUSG00000028439,TRE
1110017D15Rik,ENSMUSG00000028441,TRE
Fancg,ENSMUSG00000028453,TRE
Tesk1,ENSMUSG00000028458,TRE
Cd72,ENSMUSG00000028459,TRE
Sit1,ENSMUSG00000028460,TRE
Car9,ENSMUSG00000028463,TRE
Fam154a,ENSMUSG00000028492,TRE
Dab1,ENSMUSG00000028519,TRE
4921539E11Rik,ENSMUSG00000028520,TRE
Tctex1d1,ENSMUSG00000028523,TRE
Sgip1,ENSMUSG00000028524,TRE
Izumo3,ENSMUSG00000028533,TRE
2610528J11Rik,ENSMUSG00000028536,TRE
Artn,ENSMUSG00000028539,TRE
B4galt2,ENSMUSG00000028541,TRE
Bend5,ENSMUSG00000028545,TRE
Elavl4,ENSMUSG00000028546,TRE
Itgb3bp,ENSMUSG00000028549,TRE
Angptl3,ENSMUSG00000028553,TRE
Cyp2j13,ENSMUSG00000028571,TRE
Fggy,ENSMUSG00000028573,TRE
4930579C15Rik,ENSMUSG00000028575,TRE
Ift74,ENSMUSG00000028576,TRE
Lrrc38,ENSMUSG00000028584,TRE
Orc1,ENSMUSG00000028587,TRE
1700012P22Rik,ENSMUSG00000028589,TRE
Pramef12,ENSMUSG00000028591,TRE
Gpx7,ENSMUSG00000028597,TRE
Tnfrsf1b,ENSMUSG00000028599,TRE
Podn,ENSMUSG00000028600,TRE
Dmrtb1,ENSMUSG00000028610,TRE
Col9a2,ENSMUSG00000028626,TRE
Kcnq4,ENSMUSG00000028631,TRE
Edn2,ENSMUSG00000028635,TRE
Ccdc30,ENSMUSG00000028637,TRE
Tfap2c,ENSMUSG00000028640,TRE
Lepre1,ENSMUSG00000028641,TRE
Ermap,ENSMUSG00000028644,TRE
Mycl1,ENSMUSG00000028654,TRE
Plk3,ENSMUSG00000028680,TRE
Ccdc163,ENSMUSG00000028689,TRE
Tspan1,ENSMUSG00000028699,TRE
Rad54l,ENSMUSG00000028702,TRE
Mob3c,ENSMUSG00000028709,TRE
Cyp4a31,ENSMUSG00000028712,TRE
Cyp4b1,ENSMUSG00000028713,TRE
Cyp4a14,ENSMUSG00000028715,TRE
Tal1,ENSMUSG00000028717,TRE
Wdr65,ENSMUSG00000028730,TRE
Pax7,ENSMUSG00000028736,TRE
Aldh4a1,ENSMUSG00000028737,TRE
Pla2g2f,ENSMUSG00000028749,TRE
Pla2g2c,ENSMUSG00000028750,TRE
Pla2g2e,ENSMUSG00000028751,TRE
Cda,ENSMUSG00000028755,TRE
Kif17,ENSMUSG00000028758,TRE
Alpl,ENSMUSG00000028766,TRE
Bai2,ENSMUSG00000028782,TRE
Hpca,ENSMUSG00000028785,TRE
Tmem54,ENSMUSG00000028786,TRE
Adc,ENSMUSG00000028789,TRE
4930555I21Rik,ENSMUSG00000028801,TRE
Nipal3,ENSMUSG00000028803,TRE
Csmd2,ENSMUSG00000028804,TRE
Zbtb8a,ENSMUSG00000028807,TRE
Rhd,ENSMUSG00000028825,TRE
Ncdn,ENSMUSG00000028833,TRE
Trim63,ENSMUSG00000028834,TRE
Extl1,ENSMUSG00000028838,TRE
Tekt2,ENSMUSG00000028845,TRE
Csf3r,ENSMUSG00000028859,TRE
Map3k6,ENSMUSG00000028862,TRE
Hgf,ENSMUSG00000028864,TRE
Cd164l2,ENSMUSG00000028865,TRE
Rspo1,ENSMUSG00000028871,TRE
Fgr,ENSMUSG00000028874,TRE
Epha10,ENSMUSG00000028876,TRE
Arhgef19,ENSMUSG00000028919,TRE
Kcnab2,ENSMUSG00000028931,TRE
Galntl5,ENSMUSG00000028938,TRE
Espn,ENSMUSG00000028943,TRE
Tas1r1,ENSMUSG00000028950,TRE
Zbtb48,ENSMUSG00000028952,TRE
Uts2,ENSMUSG00000028963,TRE
Tnfrsf9,ENSMUSG00000028965,TRE
Abcb1b,ENSMUSG00000028970,TRE
Car6,ENSMUSG00000028972,TRE
Slc2a5,ENSMUSG00000028976,TRE
Masp2,ENSMUSG00000028979,TRE
Rbp7,ENSMUSG00000028996,TRE
Fbxo44,ENSMUSG00000029001,TRE
Mad2l2,ENSMUSG00000029003,TRE
Clcn6,ENSMUSG00000029016,TRE
Nppb,ENSMUSG00000029019,TRE
Acap3,ENSMUSG00000029033,TRE
4930584F24Rik,ENSMUSG00000029044,TRE
Morn1,ENSMUSG00000029049,TRE
Gabrd,ENSMUSG00000029054,TRE
Plch2,ENSMUSG00000029055,TRE
Mmp23,ENSMUSG00000029061,TRE
Gltpd1,ENSMUSG00000029073,TRE
Ttll10,ENSMUSG00000029074,TRE
Tnfrsf4,ENSMUSG00000029075,TRE
Bst1,ENSMUSG00000029082,TRE
Kcnip4,ENSMUSG00000029088,TRE
Ablim2,ENSMUSG00000029095,TRE
Acox3,ENSMUSG00000029098,TRE
Hgfac,ENSMUSG00000029102,TRE
Man2b2,ENSMUSG00000029119,TRE
Ppp2r2c,ENSMUSG00000029120,TRE
Crmp1,ENSMUSG00000029121,TRE
Evc,ENSMUSG00000029122,TRE
Nsg1,ENSMUSG00000029126,TRE
Rnf32,ENSMUSG00000029130,TRE
Plb1,ENSMUSG00000029134,TRE
4930548H24Rik,ENSMUSG00000029138,TRE
Slc30a3,ENSMUSG00000029151,TRE
Cwh43,ENSMUSG00000029154,TRE
Spata18,ENSMUSG00000029155,TRE
Yipf7,ENSMUSG00000029158,TRE
Cgref1,ENSMUSG00000029161,TRE
Khk,ENSMUSG00000029162,TRE
Agbl5,ENSMUSG00000029165,TRE
Dpysl5,ENSMUSG00000029168,TRE
1700001C02Rik,ENSMUSG00000029182,TRE
Slc34a2,ENSMUSG00000029188,TRE
Cckar,ENSMUSG00000029193,TRE
Klb,ENSMUSG00000029195,TRE
Rhoh,ENSMUSG00000029204,TRE
Nsun7,ENSMUSG00000029206,TRE
Gabra4,ENSMUSG00000029211,TRE
Gabrb1,ENSMUSG00000029212,TRE
Slc10a4,ENSMUSG00000029219,TRE
Uchl1,ENSMUSG00000029223,TRE
Pdcl2,ENSMUSG00000029235,TRE
Nmu,ENSMUSG00000029236,TRE
Epha5,ENSMUSG00000029245,TRE
1700023E05Rik,ENSMUSG00000029248,TRE
Stap1,ENSMUSG00000029254,TRE
Gnrhr,ENSMUSG00000029255,TRE
Ugt2b34,ENSMUSG00000029260,TRE
Sult1b1,ENSMUSG00000029269,TRE
Sult1e1,ENSMUSG00000029272,TRE
Brdt,ENSMUSG00000029279,TRE
Smr3a,ENSMUSG00000029280,TRE
Smr2,ENSMUSG00000029281,TRE
Abcg3,ENSMUSG00000029299,TRE
Ibsp,ENSMUSG00000029306,TRE
Dmp1,ENSMUSG00000029307,TRE
Klhl8,ENSMUSG00000029312,TRE
Agpat9,ENSMUSG00000029314,TRE
1700016H13Rik,ENSMUSG00000029320,TRE
Slc10a6,ENSMUSG00000029321,TRE
Prkg2,ENSMUSG00000029334,TRE
Crybb1,ENSMUSG00000029343,TRE
Srrd,ENSMUSG00000029346,TRE
Asphd2,ENSMUSG00000029348,TRE
Crybb3,ENSMUSG00000029352,TRE
Nos1,ENSMUSG00000029361,TRE
Alb,ENSMUSG00000029368,TRE
Afm,ENSMUSG00000029369,TRE
Cxcl5,ENSMUSG00000029371,TRE
Ppbp,ENSMUSG00000029372,TRE
Cxcl15,ENSMUSG00000029375,TRE
Ereg,ENSMUSG00000029377,TRE
Areg,ENSMUSG00000029378,TRE
Cxcl3,ENSMUSG00000029379,TRE
2010109A12Rik,ENSMUSG00000029384,TRE
Tctn2,ENSMUSG00000029386,TRE
Pitpnm2,ENSMUSG00000029406,TRE
Abcb9,ENSMUSG00000029408,TRE
Ppef2,ENSMUSG00000029410,TRE
Cxcl9,ENSMUSG00000029417,TRE
Piwil1,ENSMUSG00000029423,TRE
Mmp17,ENSMUSG00000029436,TRE
Il31,ENSMUSG00000029437,TRE
Wdr66,ENSMUSG00000029442,TRE
Hpd,ENSMUSG00000029445,TRE
Tmem116,ENSMUSG00000029452,TRE
Acad10,ENSMUSG00000029456,TRE
P2rx7,ENSMUSG00000029468,TRE
Morn3,ENSMUSG00000029477,TRE
Dhx37,ENSMUSG00000029480,TRE
Pde6b,ENSMUSG00000029491,TRE
Pxmp2,ENSMUSG00000029499,TRE
P2rx2,ENSMUSG00000029503,TRE
Cit,ENSMUSG00000029516,TRE
Ankrd7,ENSMUSG00000029517,TRE
Pla2g1b,ENSMUSG00000029522,TRE
1700123K08Rik,ENSMUSG00000029526,TRE
Ccr9,ENSMUSG00000029530,TRE
Cabp1,ENSMUSG00000029544,TRE
Uncx,ENSMUSG00000029546,TRE
Tfec,ENSMUSG00000029553,TRE
4930519G04Rik,ENSMUSG00000029564,TRE
Lfng,ENSMUSG00000029570,TRE
Radil,ENSMUSG00000029576,TRE
Ung,ENSMUSG00000029591,TRE
Rbm19,ENSMUSG00000029594,TRE
Sdsl,ENSMUSG00000029596,TRE
Sds,ENSMUSG00000029597,TRE
Iqcd,ENSMUSG00000029601,TRE
Rasal1,ENSMUSG00000029602,TRE
Ankrd61,ENSMUSG00000029607,TRE
Rph3a,ENSMUSG00000029608,TRE
1700018F24Rik,ENSMUSG00000029620,TRE
Cyp3a25,ENSMUSG00000029630,TRE
Pdx1,ENSMUSG00000029644,TRE
Cdx2,ENSMUSG00000029646,TRE
Mtus2,ENSMUSG00000029651,TRE
C8b,ENSMUSG00000029656,TRE
Wdr95,ENSMUSG00000029658,TRE
Gngt1,ENSMUSG00000029663,TRE
Tfpi2,ENSMUSG00000029664,TRE
Wnt16,ENSMUSG00000029671,TRE
Limk1,ENSMUSG00000029674,TRE
Eln,ENSMUSG00000029675,TRE
Hyal5,ENSMUSG00000029678,TRE
Hyal6,ENSMUSG00000029679,TRE
Spam1,ENSMUSG00000029682,TRE
Lmod2,ENSMUSG00000029683,TRE
Asb15,ENSMUSG00000029685,TRE
Aass,ENSMUSG00000029695,TRE
Fezf1,ENSMUSG00000029697,TRE
Srcrb4d,ENSMUSG00000029699,TRE
Slc13a1,ENSMUSG00000029700,TRE
Fscn3,ENSMUSG00000029707,TRE
Ephb4,ENSMUSG00000029710,TRE
Actl6b,ENSMUSG00000029712,TRE
Tfr2,ENSMUSG00000029716,TRE
Ppp1r35,ENSMUSG00000029725,TRE
