,Smgc+_salivary_gland,Intercalated.duct_salivary_gland,Acinar_salivary_gland,Bpifa2+_salivary_gland,Basal.duct_salivary_gland,Striated.duct_salivary_gland,Myoepithelial_salivary_gland,GCT_salivary_gland,Ascl3+.duct_salivary_gland
4933401J01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm26206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Xkr4,0.0,0.00792327057570219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm18956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37363,0.004539042711257935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm19938,0.004419457167387009,0.0,0.0,0.0,0.009238089434802532,0.0,0.0,0.0,0.0
Gm10568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm27396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sox17,0.004359540529549122,0.0,0.0,0.0044517796486616135,0.007752479985356331,0.0,0.0,0.0,0.0
Gm37587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6085,0.0034726341255009174,0.0,0.0021768200676888227,0.0,0.0,0.0060196928679943085,0.0,0.0,0.0
Gm6119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm2053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.2638680040836334,0.24122807383537292,0.06538423150777817,0.09122663736343384,0.4099578559398651,0.2849593758583069,0.20475292205810547,0.3058389127254486,0.28675201535224915
Gm37144,0.00670821126550436,0.0,0.0005265317158773541,0.0,0.0,0.0,0.0,0.0,0.0
Lypla1,0.137666255235672,0.18500515818595886,0.049794141203165054,0.04324313625693321,0.2666381895542145,0.16510821878910065,0.10903145372867584,0.0,0.12259981036186218
Gm37988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcea1,0.11243012547492981,0.17181172966957092,0.037716057151556015,0.1014176532626152,0.25913840532302856,0.09648071974515915,0.2020452469587326,0.06071292608976364,0.14231429994106293
Gm6104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rgs20,0.02823609858751297,0.013495092280209064,0.0,0.0026146485470235348,0.007625477388501167,0.0,0.0,0.0,0.0
Gm17100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37079,0.0,0.022357553243637085,0.0,0.0016802306054159999,0.0,0.0,0.0,0.0,0.0
Gm16041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm17101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.09327690303325653,0.1754160076379776,0.02282981015741825,0.05613560602068901,0.21157492697238922,0.13127660751342773,0.1999271661043167,0.25048309564590454,0.20185571908950806
Gm7182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oprk1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm36965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Npbwr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm19214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb1cc1,0.12031013518571854,0.20039615035057068,0.03148619458079338,0.05681060627102852,0.19780126214027405,0.09949333220720291,0.07350636273622513,0.06745745986700058,0.10439817607402802
4732440D04Rik,0.013428885489702225,0.012384128756821156,0.0012600538320839405,0.003122019814327359,0.026912005618214607,0.017317214980721474,0.0,0.0,0.038891762495040894
Fam150a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm19026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm42492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37108,0.0,0.010331450030207634,0.0,0.0,0.01847805641591549,0.008210218511521816,0.0,0.0,0.0
Gm37275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pcmtd1,0.32587605714797974,0.329831600189209,0.12396048754453659,0.139567032456398,0.2547753155231476,0.3436465859413147,0.1425483673810959,0.0580914244055748,0.383293479681015
Gm26983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm9826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nras-ps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm23274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm19002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm26901,0.0,0.0,0.002117664786055684,0.0,0.009092384949326515,0.0,0.0,0.0,0.0
Gm18984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rps2-ps2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0036944756284356117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm16284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm23358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm15452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm36964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37629,0.0,0.00792327057570219,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm18299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm18300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rrs1,0.07368334382772446,0.1528390645980835,0.02635493315756321,0.040149517357349396,0.17437626421451569,0.14977385103702545,0.0700259730219841,0.10545455664396286,0.13584016263484955
Adhfe1,0.012069652788341045,0.010043139569461346,0.009718627668917179,0.007174224592745304,0.0,0.05822956562042236,0.0,0.0678555816411972,0.0
2610203C22Rik,0.005738749634474516,0.05909742787480354,0.000386679865187034,0.0,0.019649602472782135,0.013665364123880863,0.0,0.0,0.0
Gm6161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3110035E14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mybl1,0.0,0.036243192851543427,0.0,0.0,0.007509732153266668,0.0,0.0,0.0,0.0
Vcpip1,0.05247635021805763,0.062365151941776276,0.012943791225552559,0.025554019957780838,0.030580606311559677,0.035725053399801254,0.05075681954622269,0.0,0.023249132558703423
1700034P13Rik,0.0,0.0,0.0,0.0,0.006280137691646814,0.0,0.0,0.0,0.0
Sgk3,0.030924739316105843,0.01808498241007328,0.001298884628340602,0.00934275146573782,0.061823196709156036,0.03763975575566292,0.04478365555405617,0.0,0.030792787671089172
Gm6195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mcmdc2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Snhg6,0.17225179076194763,0.05322038754820824,0.009985623881220818,0.025251133367419243,0.22247008979320526,0.04179369658231735,0.1426754593849182,0.0,0.1657191514968872
Snord87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tcf24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023249132558703423
E330040D14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ppp1r42,0.0,0.0,0.0015976951690390706,0.0,0.0,0.0,0.0,0.0,0.0
Gm15818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm24674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.1939498633146286,0.27024540305137634,0.03076297417283058,0.0662151351571083,0.26488980650901794,0.19222338497638702,0.16880637407302856,0.06433123350143433,0.36401495337486267
Cspp1,0.039119116961956024,0.12418687343597412,0.015464168973267078,0.019962459802627563,0.12468662858009338,0.037617187947034836,0.08235720545053482,0.0,0.251291960477829
1700047N06Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arfgef1,0.12967030704021454,0.21349745988845825,0.05403018742799759,0.06009835749864578,0.1430927962064743,0.10698730498552322,0.11096582561731339,0.0,0.25084784626960754
Gm26348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37569,0.004359540529549122,0.0036944756284356117,0.0008882805122993886,0.0009193315054289997,0.0,0.0,0.0,0.0,0.0
Cpa6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm15604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm25253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm15603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm5522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prex2,0.0,0.0,0.0,0.0044517796486616135,0.008590096607804298,0.0,0.0,0.0,0.0
Gm24173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm28686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A830018L16Rik,0.0,0.006117354147136211,0.006776886060833931,0.02125145122408867,0.007865959778428078,0.0,0.0,0.0,0.0
Gm38178,0.0,0.0,0.0,0.01590731181204319,0.007919151335954666,0.0,0.0,0.0,0.0
Gm29273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm38069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm7560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm22633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mir6341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm2383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm6216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm17644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
